# diameters_cpd	void_ratio_cpd	diameters_psd	void_ratio_psd
0.004000000000000001	0.018019999999999925	0.004433121354332456	0.003121302058452069
0.0049131412355596	0.022256615952374673	0.005445137832052645	0.0016420326417241954
0.00603473920013902	0.02448538508588773	0.006688182803990855	0.003315945116943999
0.007412381502512742	0.028986194593126204	0.008214996681312021	0.003535719191735503
0.009104519303423634	0.03378530856873829	0.010090359736234832	0.00411502123901709
0.011182947304899752	0.03937072270011734	0.012393840625431408	0.004008347726256078
0.01373584988469826	0.044811346389111814	0.015223172360940194	0.004048761219498982
0.01687154261849189	0.050306824253369596	0.01869839896564161	0.005544664065844209
0.020723067936603404	0.057832725877759034	0.022966968749259662	0.006671015782562703
0.025453839901657276	0.06688745091035164	0.028209990304449078	0.0076393117068167486
0.03126457760604114	0.07725646654426739	0.03464991665488129	0.011236125624824362
0.03840182136214848	0.09250752144813822	0.04255998358145012	0.018928934025204864
0.047168393013741275	0.11820020429357944	0.05227580257969052	0.029218625835448743
0.057936244182723355	0.15785932539200986	0.06420960031906255	0.039467065268365235
0.071162237581897	0.21142889193126796	0.07886770876159671	0.05225688844542759
0.08740753096957675	0.2823583832343812	0.09687204801767646	0.06141224141262991
0.10736138617626999	0.36571464826977035	0.11898651342218883	0.06686127722738718
0.13187041338236752	0.45646701647798427	0.14614938639250533	0.06958342551495718
0.16197449143479997	0.5509142199324761	0.17951314420918763	0.07148016516940693
0.19895088824427767	0.6479359122788022	0.22049335778477908	0.07071018045023245
0.2443684532210424	0.7439124864394319	0.2708287520748484	0.06647522051744394
0.30015418104755487	0.8341408508872797	0.3326549773985211	0.060014651199084716
0.36867497098259083	0.9156001341878975	0.4085952216677049	0.05441978101801123
0.4528380506133259	0.9894653699350536	0.5018715080570537	0.048711386585542256
0.556214324874689	1.0555824690193205	0.616441400296898	0.04304636936457651
0.6831898838376943	1.1140103083397555	0.7571659157761971	0.03752168760897537
0.8391520975000362	1.1649393684907108	0.9300157707400696	0.030276192554323244
1.030718193283439	1.2060339495183563	1.1423247082359445	0.02463317162000267
1.2660160144155883	1.239469126854139	1.4031006571081508	0.021295298809923993
1.555028871326009	1.2683737317142827	1.7234079240197053	0.018090487615214233
1.910019117549379	1.2929283717271955	2.1168366342978433	0.01577154291545576
2.34604842178475	1.314335454110731	2.600079339227981	0.008607303853042468
2.8816168104225435	1.3260183480209797	3.1936392543218863	0.007102922315874751
3.5394475940921812	1.3356593098466472	3.9227001779776653	0.0040562850638434875
4.347451481409122	1.3411649999999997	4.818194999789759	0.0015618976178876098
5.339910785726455	1.3432849999999998	5.91811813360853	0.0014289778631209767
6.5589339688905195	1.3452245849222906	7.269137559786266	0.0058723559854865544
8.056242235967147	1.3531952704183536	8.928574872985246	0.0010938658475379308
9.895363983296763	1.3546799999999999	10.966837345811273	0.0
12.15433020680164	1.3546799999999999	13.47040519684508	0.0
14.92898523241119	1.3546799999999999	16.54550080807897	0.004206696319028324
18.33705323760493	1.360389846851807	20.32259557078935	0.003910006531154857
22.52313310008208	1.365696989747165	24.96194557811149	0.0006689712504341173
27.664833497002643	1.3666049999999998	30.660391034903537	0.0004646832184718902
33.98030855725354	1.3672357253509309	37.65970787299158	0.0004626330413891385
41.737513792420216	1.3678636679487763	46.2568659174808	0.0012072462736770438
51.265575020819256	1.369502291422482	56.81662884173158	0.001267024314600736
62.96875264986537	1.3712220530228527	69.78703050694905	0.0012249654347511662
77.34359379895149	1.372884727126412	85.71838432273668	0.0018113255384089202
94.99999999999997	1.3753432814499793	0.0	0.0
